Cache size,Associativity,Block size,Speed up
4,1,8,0.9871958598459712
4,1,16,0.990582191780822
4,1,32,0.9923091152679757
4,1,64,0.9888888888888889
4,1,128,0.9803564308183068
4,1,512,0.9041786485920494
4,2,8,0.9968408960367606
4,2,16,1.0005143277002204
4,2,32,1.0
4,2,64,1.0000564936642355
4,2,128,0.9881988444469256
4,2,512,0.9643505025467819
4,4,8,0.9942989058392686
4,4,16,0.9991871983743968
4,4,32,1.0020378012124918
4,4,64,1.003014352169257
4,4,128,0.996268656716418
4,4,512,0.9674811855430643
4,8,8,0.9942989058392686
4,8,16,0.9992266790096975
4,8,32,1.0022136669874881
4,8,64,1.003674031739552
4,8,128,1.0003277521289762
4,8,512,0.9722902683642196
8,1,8,0.9938021052631579
8,1,16,0.9979986018401588
8,1,32,1.000599157787638
8,1,64,1.001114102158078
8,1,128,0.9963976336956338
8,1,512,0.9889275598732982
8,2,8,0.9941537217373725
8,2,16,0.9988545569448833
8,2,32,1.001646579528094
8,2,64,1.00209452536357
8,2,128,0.9990856910651701
8,2,512,0.9884913056588602
8,4,8,0.9943715137931617
8,4,16,0.9992605220375723
8,4,32,1.002247712655132
8,4,64,1.003292904103378
8,4,128,1.002730274896765
8,4,512,0.998488343890484
8,8,8,0.99097036398446
8,8,16,0.9958034955869199
8,8,32,0.9987643872714963
8,8,64,1.0002316645948695
8,8,128,1.0009159839193935
8,8,512,1.001108440548565
16,1,8,0.9957530825308254
16,1,16,0.9999322160275205
16,1,32,1.0025599057592216
16,1,64,1.0039244820761193
16,1,128,1.0045169527592568
16,1,512,1.00495605967709
16,2,8,0.9954563091509259
16,2,16,0.9997853822737055
16,2,32,1.002446358493451
16,2,64,1.0031905609266794
16,2,128,1.0022136669874881
16,2,512,1.0022079929344228
16,4,8,0.991880988401412
16,4,16,0.996307907044806
16,4,32,0.9990236689729901
16,4,64,1.0004408199250607
16,4,128,1.0009725811285335
16,4,512,1.0004521281105003
16,8,8,0.9924760180082192
16,8,16,0.9965771354902636
16,8,32,0.9991815585383201
16,8,64,1.0005595686234612
16,8,128,1.0010518279752314
16,8,512,1.0015389054534962
32,1,8,0.9959435586411766
32,1,16,1.0001808021967469
32,1,32,1.0028552490694946
32,1,64,1.0041864501965592
32,1,128,1.00464807436919
32,1,512,1.0051272442339796
32,2,8,0.9924871468538528
32,2,16,0.9966781336741533
32,2,32,0.9993225735431099
32,2,64,1.0006613756613758
32,2,128,1.001142411166221
32,2,512,1.0016579149880043
32,4,8,0.9924871468538528
32,4,16,0.9966781336741533
32,4,32,0.9993225735431099
32,4,64,1.0006613756613758
32,4,128,1.001142411166221
32,4,512,1.0016579149880043
32,8,8,0.9880223478653994
32,8,16,0.9921589507902703
32,8,32,0.9947738422374699
32,8,64,0.9961172915576414
32,8,128,0.9966107992771207
32,8,512,0.9971384956823957
