                                     | Core 0    
  Instructions                       |   23185444
  Cycles                             |   72138800
  IPC                                |       0.32
  Time (ns)                          |   36069400
  Idle time (ns)                     |       1418
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    2564006
  num incorrect                      |     200204
  misprediction rate                 |      7.24%
  mpki                               |       8.63
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    5215320
    num misses                       |         82
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    9983927
    num misses                       |        260
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        342
    num misses                       |        234
    miss rate                        |     68.42%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    5215320
    num cache misses                 |     480787
    miss rate                        |      9.22%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |    9983933
    num cache misses                 |    1283023
    miss rate                        |     12.85%
    mpki                             |      55.34
  Cache L2                           |           
    num cache accesses               |    1764345
    num cache misses                 |      85353
    miss rate                        |      4.84%
    mpki                             |       3.68
DRAM summary                         |           
  num dram accesses                  |      99987
  average dram access latency (ns)   |     204.49
  average dram queueing delay        |       0.27
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |      68368
  num loads from dram cache          |          0
  num loads from remote cache        |          0
