                                     | Core 0    
  Instructions                       |     396726
  Cycles                             |    3636800
  IPC                                |       0.11
  Time (ns)                          |    1818400
  Idle time (ns)                     |        -22
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      65646
  num incorrect                      |       6573
  misprediction rate                 |      9.10%
  mpki                               |      16.57
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      87893
    num misses                       |         71
    miss rate                        |      0.08%
    mpki                             |       0.18
  D-TLB                              |           
    num accesses                     |     185062
    num misses                       |        131
    miss rate                        |      0.07%
    mpki                             |       0.33
  L2 TLB                             |           
    num accesses                     |        202
    num misses                       |        150
    miss rate                        |     74.26%
    mpki                             |       0.38
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      87893
    num cache misses                 |      23164
    miss rate                        |     26.35%
    mpki                             |      58.39
  Cache L1-D                         |           
    num cache accesses               |     185062
    num cache misses                 |      29979
    miss rate                        |     16.20%
    mpki                             |      75.57
  Cache L2                           |           
    num cache accesses               |      53255
    num cache misses                 |       8366
    miss rate                        |     15.71%
    mpki                             |      21.09
DRAM summary                         |           
  num dram accesses                  |       9642
  average dram access latency (ns)   |     204.90
  average dram queueing delay        |       0.68
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |       4880
  num loads from dram cache          |          0
  num loads from remote cache        |          0
