                                     | Core 0    
  Instructions                       |   77549757
  Cycles                             |  124338800
  IPC                                |       0.62
  Time (ns)                          |   62169400
  Idle time (ns)                     |        326
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420886
  num incorrect                      |      65667
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35058496
    num misses                       |        123
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        201
    num misses                       |        176
    miss rate                        |     87.56%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608277
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35058506
    num cache misses                 |    3870351
    miss rate                        |     11.04%
    mpki                             |      49.91
  Cache L2                           |           
    num cache accesses               |    5484041
    num cache misses                 |     116450
    miss rate                        |      2.12%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     128991
  average dram access latency (ns)   |     204.45
  average dram queueing delay        |       0.23
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104382
  num loads from dram cache          |          0
  num loads from remote cache        |          0
