                                     | Core 0    
  Instructions                       |   77549775
  Cycles                             |  275657800
  IPC                                |       0.28
  Time (ns)                          |  137828900
  Idle time (ns)                     |        162
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9420831
  num incorrect                      |      65722
  misprediction rate                 |      0.69%
  mpki                               |       0.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14915995
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35068731
    num misses                       |        107
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        185
    num misses                       |        176
    miss rate                        |     95.14%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14915995
    num cache misses                 |    1608275
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35068741
    num cache misses                 |    3833293
    miss rate                        |     10.93%
    mpki                             |      49.43
  Cache L2                           |           
    num cache accesses               |    5447361
    num cache misses                 |     116546
    miss rate                        |      2.14%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129122
  average dram access latency (ns)   |     204.27
  average dram queueing delay        |       0.05
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |     104061
  num loads from dram cache          |          0
  num loads from remote cache        |          0
