                                     | Core 0    
  Instructions                       |   77542965
  Cycles                             |   92671400
  IPC                                |       0.84
  Time (ns)                          |   46335700
  Idle time (ns)                     |        360
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    9419115
  num incorrect                      |      65470
  misprediction rate                 |      0.69%
  mpki                               |       0.84
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   14914651
    num misses                       |         78
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   35057187
    num misses                       |        122
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        200
    num misses                       |        175
    miss rate                        |     87.50%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   14914651
    num cache misses                 |    1608335
    miss rate                        |     10.78%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |   35057197
    num cache misses                 |    3933560
    miss rate                        |     11.22%
    mpki                             |      50.73
  Cache L2                           |           
    num cache accesses               |    5546638
    num cache misses                 |     116609
    miss rate                        |      2.10%
    mpki                             |       1.50
DRAM summary                         |           
  num dram accesses                  |     129219
  average dram access latency (ns)   |     204.49
  average dram queueing delay        |       0.27
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     104441
  num loads from dram cache          |          0
  num loads from remote cache        |          0
