                                     | Core 0    
  Instructions                       |    8035707
  Cycles                             |   12979200
  IPC                                |       0.62
  Time (ns)                          |    6489600
  Idle time (ns)                     |        113
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1016657
  num incorrect                      |      12495
  misprediction rate                 |      1.21%
  mpki                               |       1.55
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1543743
    num misses                       |         83
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1310722
    num misses                       |        100
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        183
    num misses                       |        169
    miss rate                        |     92.35%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1543743
    num cache misses                 |     872596
    miss rate                        |     56.52%
    mpki                             |     108.59
  Cache L1-D                         |           
    num cache accesses               |    1310722
    num cache misses                 |     140856
    miss rate                        |     10.75%
    mpki                             |      17.53
  Cache L2                           |           
    num cache accesses               |    1013568
    num cache misses                 |      15535
    miss rate                        |      1.53%
    mpki                             |       1.93
DRAM summary                         |           
  num dram accesses                  |      17747
  average dram access latency (ns)   |     205.51
  average dram queueing delay        |       1.29
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |       6784
  num loads from dram cache          |          0
  num loads from remote cache        |          0
