                                     | Core 0    
  Instructions                       |   23178580
  Cycles                             |   34920000
  IPC                                |       0.66
  Time (ns)                          |   17460000
  Idle time (ns)                     |       1206
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    2562360
  num incorrect                      |     199858
  misprediction rate                 |      7.24%
  mpki                               |       8.62
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    5213976
    num misses                       |         82
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    9982588
    num misses                       |        284
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        366
    num misses                       |        230
    miss rate                        |     62.84%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    5213976
    num cache misses                 |     480769
    miss rate                        |      9.22%
    mpki                             |      20.74
  Cache L1-D                         |           
    num cache accesses               |    9982594
    num cache misses                 |    1452098
    miss rate                        |     14.55%
    mpki                             |      62.65
  Cache L2                           |           
    num cache accesses               |    1933541
    num cache misses                 |      88443
    miss rate                        |      4.57%
    mpki                             |       3.82
DRAM summary                         |           
  num dram accesses                  |     103918
  average dram access latency (ns)   |     206.65
  average dram queueing delay        |       2.43
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |      71224
  num loads from dram cache          |          0
  num loads from remote cache        |          0
