                                     | Core 0    
  Instructions                       |   15574420
  Cycles                             |   51732000
  IPC                                |       0.30
  Time (ns)                          |   25866000
  Idle time (ns)                     |        532
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1850397
  num incorrect                      |     193065
  misprediction rate                 |      9.45%
  mpki                               |      12.40
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    3322348
    num misses                       |         96
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    7594940
    num misses                       |      28337
    miss rate                        |      0.37%
    mpki                             |       1.82
  L2 TLB                             |           
    num accesses                     |      28433
    num misses                       |       3833
    miss rate                        |     13.48%
    mpki                             |       0.25
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    3322348
    num cache misses                 |    1310250
    miss rate                        |     39.44%
    mpki                             |      84.13
  Cache L1-D                         |           
    num cache accesses               |    7594946
    num cache misses                 |    1212603
    miss rate                        |     15.97%
    mpki                             |      77.86
  Cache L2                           |           
    num cache accesses               |    2557510
    num cache misses                 |     189998
    miss rate                        |      7.43%
    mpki                             |      12.20
DRAM summary                         |           
  num dram accesses                  |     274817
  average dram access latency (ns)   |     205.72
  average dram queueing delay        |       1.50
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |     165135
  num loads from dram cache          |          0
  num loads from remote cache        |          0
