                                     | Core 0    
  Instructions                       |     389963
  Cycles                             |    1954200
  IPC                                |       0.20
  Time (ns)                          |     977100
  Idle time (ns)                     |         53
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      64003
  num incorrect                      |       6253
  misprediction rate                 |      8.90%
  mpki                               |      16.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      86554
    num misses                       |         71
    miss rate                        |      0.08%
    mpki                             |       0.18
  D-TLB                              |           
    num accesses                     |     183834
    num misses                       |         82
    miss rate                        |      0.04%
    mpki                             |       0.21
  L2 TLB                             |           
    num accesses                     |        153
    num misses                       |        151
    miss rate                        |     98.69%
    mpki                             |       0.39
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      86554
    num cache misses                 |      23164
    miss rate                        |     26.76%
    mpki                             |      59.40
  Cache L1-D                         |           
    num cache accesses               |     183834
    num cache misses                 |      29875
    miss rate                        |     16.25%
    mpki                             |      76.61
  Cache L2                           |           
    num cache accesses               |      53145
    num cache misses                 |       8341
    miss rate                        |     15.69%
    mpki                             |      21.39
DRAM summary                         |           
  num dram accesses                  |       9634
  average dram access latency (ns)   |     205.98
  average dram queueing delay        |       1.76
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |       4838
  num loads from dram cache          |          0
  num loads from remote cache        |          0
