                                     | Core 0     
  Instructions                       |    77543291
  Cycles                             |  2034635600
  IPC                                |        0.04
  Time (ns)                          |  1017317800
  Idle time (ns)                     |         216
  Idle time (%)                      |        0.0%
Branch predictor stats               |            
  num correct                        |     9419442
  num incorrect                      |       65279
  misprediction rate                 |       0.69%
  mpki                               |        0.84
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    25535296
    num misses                       |          78
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    35068435
    num misses                       |         109
    miss rate                        |       0.00%
    mpki                             |        0.00
  L2 TLB                             |            
    num accesses                     |         187
    num misses                       |         176
    miss rate                        |      94.12%
    mpki                             |        0.00
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    25535296
    num cache misses                 |     2916447
    miss rate                        |      11.42%
    mpki                             |       37.61
  Cache L1-D                         |            
    num cache accesses               |    35068445
    num cache misses                 |     4359369
    miss rate                        |      12.43%
    mpki                             |       56.22
  Cache L2                           |            
    num cache accesses               |     7534665
    num cache misses                 |     4673753
    miss rate                        |      62.03%
    mpki                             |       60.27
DRAM summary                         |            
  num dram accesses                  |     5268990
  average dram access latency (ns)   |      202.25
  average dram queueing delay        |        0.14
  average dram bandwidth utilization |       1.00%
Coherency Traffic                    |            
  num loads from dram                |     2710608
  num loads from dram cache          |           0
  num loads from remote cache        |           0
