                                     | Core 0    
  Instructions                       |    8036084
  Cycles                             |  187025600
  IPC                                |       0.04
  Time (ns)                          |   93512800
  Idle time (ns)                     |         88
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1016778
  num incorrect                      |      12522
  misprediction rate                 |      1.22%
  mpki                               |       1.56
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    2870912
    num misses                       |         83
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    1312240
    num misses                       |        100
    miss rate                        |      0.01%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        183
    num misses                       |        169
    miss rate                        |     92.35%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    2870912
    num cache misses                 |    1692862
    miss rate                        |     58.97%
    mpki                             |     210.66
  Cache L1-D                         |           
    num cache accesses               |    1312240
    num cache misses                 |     192889
    miss rate                        |     14.70%
    mpki                             |      24.00
  Cache L2                           |           
    num cache accesses               |    1897190
    num cache misses                 |     411959
    miss rate                        |     21.71%
    mpki                             |      51.26
DRAM summary                         |           
  num dram accesses                  |     453972
  average dram access latency (ns)   |     202.23
  average dram queueing delay        |       0.12
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     135940
  num loads from dram cache          |          0
  num loads from remote cache        |          0
