                                     | Core 0    
  Instructions                       |   15571339
  Cycles                             |  886484200
  IPC                                |       0.02
  Time (ns)                          |  443242100
  Idle time (ns)                     |        470
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |    1850176
  num incorrect                      |     192570
  misprediction rate                 |      9.43%
  mpki                               |      12.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    5046521
    num misses                       |         98
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    8039776
    num misses                       |      28452
    miss rate                        |      0.35%
    mpki                             |       1.83
  L2 TLB                             |           
    num accesses                     |      28550
    num misses                       |       3738
    miss rate                        |     13.09%
    mpki                             |       0.24
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    5046521
    num cache misses                 |    1903777
    miss rate                        |     37.72%
    mpki                             |     122.26
  Cache L1-D                         |           
    num cache accesses               |    8039782
    num cache misses                 |    1632746
    miss rate                        |     20.31%
    mpki                             |     104.86
  Cache L2                           |           
    num cache accesses               |    3707133
    num cache misses                 |    2227335
    miss rate                        |     60.08%
    mpki                             |     143.04
DRAM summary                         |           
  num dram accesses                  |    2764581
  average dram access latency (ns)   |     202.24
  average dram queueing delay        |       0.12
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |     736512
  num loads from dram cache          |          0
  num loads from remote cache        |          0
